entity_text,paper_count,pmids,entity_type,sources,mean_confidence
prokaryotes,41,"34634793,34709630,34791440,34904653,35350714,35411389,35440731,35561201,35676297,35694833,35715423,35953824,36224545,36243963,36350662,36917632,37036103,37623730,37897352,37956405,38179456,38317726,38422081,38454513,38458968,38593165,38660008,38907008,38990885,39388605,39470737,39483755,39535043,39730187,39806487,39819733,39890791,39956814,40136077,40273288,40391087",FUL,ruler,1.0
Gene Expression Omnibus,41,"34935889,35238331,35524556,35560008,35584008,35592546,35609980,35657113,35863045,36095221,36189892,36266291,36333579,36755307,36760999,36847572,37227514,37352010,37386732,37461161,37707574,37933855,38022697,38227799,38443825,38525301,38564425,38606287,38650009,38654053,38706955,38717988,38743124,38805754,38926513,39018385,39101486,39402558,39530087,39999010,40392208",FUL,ruler,1.0
Kyoto Encyclopedia of Genes and Genomes,39,"34849572,35380657,35422973,35639952,35689503,35904089,36011344,36156625,36208223,36209090,36354662,36394420,36847572,36896476,37003963,37499616,37589022,37643078,37823598,37846038,38015957,38090151,38336614,38371639,38603733,38650009,38855325,38926513,39001614,39019974,39213211,39363510,39470845,39508840,39724366,39766814,39985759,40543694,40606672",FUL,ruler,1.0
GBIF,37,"35068980,35437413,35837835,35977947,36761504,36761550,36761561,36761627,37332535,37900105,37919263,37919303,38090598,38312334,38312338,38327298,38327327,38327374,38357419,38384789,38443673,38469223,38469226,38495308,38505537,38650359,38776381,38903959,38912109,38974676,39346622,39623597,39720205,39958908,40021691,40329811,40500268",COM,ruler,1.0
ChatGPT,37,"37501529,37507396,37758604,37789187,37953349,37991290,38000386,38028668,38028967,38076260,38307909,38314912,38390029,38541171,38550240,38572754,38704403,38774631,38781458,38886470,38896539,38918477,38935678,38957452,38987117,39068189,39094795,39115390,39415960,39487529,39522019,39538127,39910777,39999194,40169010,40169679,40375935",COM,"statistical,v2_bert",0.991839054054054
Reactome,33,"32877338,34718410,34718729,34788843,34986604,35037224,35348650,35609982,36175836,36289281,36362077,37053306,37070209,37180100,37199469,37467006,37732505,37791887,37941124,37986220,38035367,38218959,38713862,38806182,38843230,38979651,39041916,39227781,39558161,39565895,39657145,40210874,40265842",COM,ruler,1.0
SRA,32,"34469540,34850941,35193506,35244718,35325039,35586731,35752825,35918364,35941762,36130056,36318256,36382399,36401317,36622170,36652461,36968016,37311148,37639797,37798675,37889077,37994677,38025697,38034874,38241320,38317726,38622429,38802746,39479298,39500943,40057525,40413396,40442190",COM,ruler,1.0
eQTL,32,"34459872,34850103,35213211,35452708,35643189,35672401,35863045,35879321,35947748,35977827,36063453,36071064,36293349,36330496,36350671,36352464,36608684,36822265,37658226,37721944,37751945,37791879,37870463,38129112,38459946,38546325,38749504,39420631,39587678,40154479,40335902,40542429",COM,ruler,1.0
SEER,30,"35844853,36840860,37033061,37088416,37245087,37249645,37293503,37344326,37428248,37773106,37867528,37891423,38148585,38175391,38181016,38181293,38660300,38821404,38848143,38914571,39043573,39102880,39102882,39331900,39333608,39341114,39373617,39476302,40281195,40661946",COM,statistical,1.0
PyPI,28,"35799364,36259946,36312750,36426870,36534166,36688705,36774895,36803795,36864613,36944259,36988912,37058511,37669275,38006335,38192003,38383060,38832467,39013340,39066220,39240327,39520544,39786428,39894387,40140766,40238188,40434923,40511982,40596788",COM,statistical,1.0
Zenodo,28,"35451453,35821017,36083008,36582986,36637211,37369670,37489036,37699009,37846051,38006335,38011649,38114921,38608321,38802733,38906921,39259175,39431411,39657951,39898792,39909853,40037522,40233101,40238183,40279264,40313391,40372465,40475080,40687097",COM,v2_bert,0.8482436607142858
STRING,28,"34850820,34927675,35183129,35327526,35575379,36088548,36209090,36370105,36456625,36548962,36624667,36847572,36991458,37123454,37323558,37461161,38277370,38341646,38492232,38679191,38896860,39230709,39276156,39558183,39658041,39724242,40543694,41171287",COM,ruler,1.0
CAD,27,"35176595,35281604,35612104,35646870,35845738,36276466,36276926,36535208,36854565,37391501,37600121,37789571,37851613,37937827,38141446,38189730,38267314,38409608,38519557,38724597,39068171,39071967,39289354,40092663,40133599,40467684,40800752",COM,ruler,1.0
gnomAD,27,"34718705,34904638,34984576,34990463,35148171,35330423,35474383,35583122,35995307,36121795,36300680,36323850,36528806,36789265,37311148,37845247,38242438,38582080,38749656,39192052,39227781,39460617,39498263,39530225,39729312,40102419,40225917",COM,ruler,1.0
AlphaFold Protein Structure Database,25,"34791371,34986604,35904542,35958127,36108094,36243970,36382391,36776141,36883717,37140053,37464277,37589594,37850517,37933859,37977136,38035367,38557634,38843230,38984796,39402214,39413165,39565202,39565206,39574394,40133787",FUL,ruler,1.0
DrugBank,25,"34986599,35325185,35443040,35821017,36175836,36420558,36892110,36923950,37790806,37897362,37953279,38197419,38206320,38438913,38518843,38713861,38979784,39075547,39402285,39558158,40338521,40458637,40544187,40700252,40996717",COM,ruler,1.0
RMSE,24,"35165316,35241693,35348582,36169978,36271097,36460685,38112004,38301367,38365784,38649344,38735985,39090119,39172803,39300179,39394222,39394400,39592634,39792898,39913370,40038323,40069206,40425575,40507586,40542019",COM,statistical,1.0
automated annotation,23,"35548855,36071107,36310247,36469142,36748555,37183449,37217502,37387130,37523489,37636259,37665714,37739812,38011649,38057859,38300514,38733346,39107460,39134412,39187482,40013940,40057531,40157887,40382431",FUL,ruler,1.0
ProteomeXchange,23,"34723319,34871441,35066208,35354825,35934186,36370099,36529941,36549590,36558536,36744907,36760999,37059743,37534389,37816770,38017352,38038272,38413438,38574199,39101213,39371417,39389962,39494541,40410165",COM,ruler,1.0
G protein,22,"34570219,35799226,35836068,36395823,36646374,37766984,37890715,38123152,38123153,38123154,38213027,38412860,38495099,38769103,38878854,39003735,39090231,39504465,39558158,39993325,40268234,40513649",FUL,ruler,1.0
ENCODE,22,"34755879,35037207,35412637,35672401,35701419,35782725,36317479,36318256,36582986,36652461,36862752,37202401,37682478,37871161,37889077,38025697,38114921,38581418,38603611,38640488,39558172,39638559",COM,ruler,1.0
