pmid,source,ling_score
33547313,linguistic,3.0
34366563,linguistic,4.0
34167460,linguistic,4.0
31004550,linguistic,4.0
32386544,linguistic,4.0
34556557,linguistic,4.0
30053267,linguistic,3.0
30367585,linguistic,8.0
26944085,linguistic,6.0
34538772,linguistic,4.0
32207518,linguistic,5.0
28472360,linguistic,5.0
31856718,linguistic,4.0
32877839,linguistic,3.0
28453653,linguistic,4.0
34085038,linguistic,5.0
27924018,linguistic,3.0
31211398,linguistic,5.0
33401349,linguistic,3.0
34585726,linguistic,4.0
29590295,linguistic,5.0
30407534,linguistic,4.0
34019646,linguistic,5.0
33441136,linguistic,5.0
34015403,linguistic,4.0
26699919,linguistic,6.0
33985427,linguistic,4.0
29041922,linguistic,6.0
26209309,linguistic,4.0
33984507,linguistic,5.0
26586806,linguistic,6.0
30297783,linguistic,3.0
30535306,linguistic,4.0
31843001,linguistic,3.0
27153568,linguistic,7.0
32392583,linguistic,5.0
26882475,linguistic,4.0
33906563,linguistic,5.0
29490008,linguistic,3.0
29220464,linguistic,4.0
34823464,linguistic,4.0
30535146,linguistic,3.0
30453895,linguistic,5.0
33064305,linguistic,3.0
34593810,linguistic,3.0
29294048,linguistic,5.0
31114916,linguistic,3.0
31163709,linguistic,4.0
31477013,linguistic,4.0
24319146,linguistic,5.0
32766702,linguistic,5.0
34484306,linguistic,3.0
29198880,linguistic,3.0
33027504,linguistic,7.0
33868597,linguistic,3.0
34048576,linguistic,4.0
26199991,linguistic,3.0
29722888,linguistic,7.0
32746900,linguistic,7.0
30365034,linguistic,3.0
30626175,linguistic,4.0
25644271,linguistic,8.0
32623772,linguistic,4.0
26511083,linguistic,7.0
32044952,linguistic,7.0
32016319,linguistic,4.0
26590405,linguistic,4.0
32330179,linguistic,5.0
22790981,linguistic,7.0
32393779,linguistic,3.0
29788413,linguistic,6.0
29624889,linguistic,3.0
33581334,linguistic,3.0
32621601,linguistic,9.0
31612961,linguistic,4.0
32055857,linguistic,4.0
31906604,linguistic,4.0
27940610,linguistic,5.0
32976910,linguistic,4.0
30089500,linguistic,3.0
30949694,linguistic,5.0
31860715,linguistic,4.0
32228437,linguistic,4.0
33529633,linguistic,5.0
29850798,linguistic,4.0
27863956,linguistic,3.0
30357393,linguistic,3.0
31776723,linguistic,6.0
33468706,linguistic,5.0
31843688,linguistic,5.0
30586417,linguistic,4.0
29649979,linguistic,4.0
31161204,linguistic,5.0
33737718,linguistic,6.0
31265323,linguistic,3.0
34384353,linguistic,3.0
35424258,linguistic,5.0
33685491,linguistic,5.0
30172046,linguistic,5.0
33755048,linguistic,4.0
31551426,linguistic,4.0
27632579,linguistic,4.0
32449936,linguistic,6.0
30644852,linguistic,5.0
32442307,linguistic,4.0
33399824,linguistic,3.0
32469073,linguistic,7.0
31106372,linguistic,5.0
29036410,linguistic,6.0
33095870,linguistic,4.0
33068435,linguistic,7.0
33175170,linguistic,3.0
33137185,linguistic,5.0
32882008,linguistic,7.0
32008039,linguistic,3.0
33219693,linguistic,4.0
33245777,linguistic,4.0
33196814,linguistic,4.0
33068406,linguistic,6.0
29961821,linguistic,5.0
31390943,linguistic,6.0
33514395,linguistic,5.0
32471392,linguistic,4.0
29145635,linguistic,4.0
31114887,linguistic,7.0
31725864,linguistic,3.0
31672983,linguistic,3.0
31907209,linguistic,4.0
29931249,linguistic,6.0
28069893,linguistic,3.0
33335465,linguistic,5.0
29913065,linguistic,3.0
30458802,linguistic,7.0
34100911,linguistic,8.0
32219413,linguistic,3.0
28195585,linguistic,3.0
29036667,linguistic,4.0
32987570,linguistic,3.0
32165660,linguistic,4.0
30349118,linguistic,5.0
32221380,linguistic,3.0
24377417,linguistic,4.0
34620862,linguistic,3.0
31680165,linguistic,4.0
30143675,linguistic,3.0
33858509,linguistic,4.0
26385205,linguistic,3.0
33654452,linguistic,4.0
31924845,linguistic,3.0
30445567,linguistic,8.0
34493872,linguistic,3.0
33247931,linguistic,6.0
32272889,linguistic,6.0
31874631,linguistic,4.0
29126285,linguistic,4.0
29175726,linguistic,3.0
32898474,linguistic,7.0
27795739,linguistic,5.0
34487139,linguistic,6.0
33954706,linguistic,5.0
32786694,linguistic,5.0
36159887,linguistic,4.0
34976872,linguistic,4.0
32393170,linguistic,4.0
30904554,linguistic,5.0
30908262,linguistic,3.0
33211865,linguistic,5.0
27924038,linguistic,3.0
28185543,linguistic,7.0
34907423,linguistic,6.0
34514504,linguistic,3.0
34260689,linguistic,5.0
34164644,linguistic,4.0
34314492,linguistic,3.0
30698777,linguistic,3.0
31337335,linguistic,4.0
34839012,linguistic,3.0
33181824,linguistic,3.0
34178179,linguistic,3.0
26040787,linguistic,6.0
32150535,linguistic,3.0
30239679,linguistic,4.0
33007622,linguistic,5.0
34616045,linguistic,3.0
30053266,linguistic,4.0
27899644,linguistic,3.0
31669269,linguistic,3.0
34774049,linguistic,5.0
29741643,linguistic,5.0
34762703,linguistic,5.0
31742321,linguistic,5.0
29106570,linguistic,3.0
34748542,linguistic,4.0
30304335,linguistic,4.0
29236308,linguistic,5.0
29069336,linguistic,4.0
34738791,linguistic,4.0
31263867,linguistic,4.0
23973272,linguistic,3.0
34826364,linguistic,5.0
34700680,linguistic,3.0
34137435,linguistic,3.0
31218882,linguistic,3.0
30692979,linguistic,4.0
32792559,linguistic,3.0
32646415,linguistic,5.0
31160582,linguistic,4.0
34768782,linguistic,3.0
29447341,linguistic,7.0
34733322,linguistic,4.0
32383756,linguistic,5.0
25542617,linguistic,3.0
30321383,linguistic,4.0
32758136,linguistic,7.0
34656056,linguistic,4.0
30541431,linguistic,7.0
30674273,linguistic,6.0
33407088,linguistic,3.0
32000661,linguistic,6.0
28365736,linguistic,3.0
30202870,linguistic,5.0
30053438,linguistic,4.0
34626475,linguistic,6.0
34679164,linguistic,4.0
33006480,linguistic,3.0
32163221,linguistic,4.0
33995920,linguistic,3.0
32994472,linguistic,3.0
26821742,linguistic,5.0
33693667,linguistic,3.0
27766940,linguistic,4.0
28977416,linguistic,6.0
27706213,linguistic,6.0
32833550,linguistic,4.0
31751002,linguistic,3.0
28482068,linguistic,5.0
34496744,linguistic,4.0
34493866,linguistic,5.0
29899596,linguistic,4.0
30101336,linguistic,4.0
31690272,linguistic,5.0
33230148,linguistic,9.0
33406221,linguistic,7.0
34478499,linguistic,3.0
33497436,linguistic,3.0
33554247,linguistic,5.0
25943471,linguistic,4.0
34549102,linguistic,5.0
27789703,linguistic,3.0
33453123,linguistic,3.0
34461244,linguistic,6.0
32921303,linguistic,6.0
32383740,linguistic,4.0
31650686,linguistic,3.0
30335785,linguistic,4.0
32791200,linguistic,4.0
28968630,linguistic,3.0
32509450,linguistic,3.0
34485275,linguistic,4.0
27102089,linguistic,3.0
34384382,linguistic,5.0
30367574,linguistic,3.0
29186576,linguistic,6.0
27580718,linguistic,3.0
31093654,linguistic,5.0
26496198,linguistic,7.0
32001327,linguistic,6.0
34458863,linguistic,3.0
34349127,linguistic,4.0
34344425,linguistic,4.0
34361108,linguistic,4.0
33009914,linguistic,5.0
34415996,linguistic,7.0
33442735,linguistic,4.0
33813032,linguistic,3.0
34330336,linguistic,3.0
34448164,linguistic,3.0
28013277,linguistic,6.0
33179738,linguistic,4.0
34321100,linguistic,3.0
32715315,linguistic,6.0
28486635,linguistic,3.0
30907069,linguistic,3.0
31598699,linguistic,6.0
30380106,linguistic,5.0
29771380,linguistic,4.0
31796060,linguistic,3.0
24962967,linguistic,3.0
32330167,linguistic,5.0
34113009,linguistic,3.0
34273956,linguistic,3.0
34345532,linguistic,3.0
30496479,linguistic,5.0
29788229,linguistic,4.0
34115121,linguistic,3.0
29112715,linguistic,4.0
34335304,linguistic,5.0
32248568,linguistic,3.0
29905870,linguistic,3.0
25607539,linguistic,5.0
25703262,linguistic,3.0
33119754,linguistic,3.0
30280028,linguistic,4.0
25189782,linguistic,4.0
31832668,linguistic,4.0
30371878,linguistic,3.0
30395289,linguistic,5.0
30398659,linguistic,4.0
30380071,linguistic,5.0
31886476,linguistic,4.0
34309639,linguistic,3.0
34104972,linguistic,3.0
31581093,linguistic,5.0
33126250,linguistic,4.0
34252246,linguistic,5.0
33147622,linguistic,5.0
31688925,linguistic,4.0
30103816,linguistic,6.0
29539190,linguistic,4.0
34174819,linguistic,4.0
33228535,linguistic,4.0
34285772,linguistic,3.0
34175476,linguistic,3.0
33885785,linguistic,3.0
30228995,linguistic,6.0
34144671,linguistic,3.0
29512401,linguistic,7.0
34147352,linguistic,6.0
29893885,linguistic,3.0
34048569,linguistic,6.0
34120586,linguistic,4.0
29617954,linguistic,4.0
32519291,linguistic,3.0
29943074,linguistic,9.0
34178036,linguistic,3.0
30395323,linguistic,3.0
34256256,linguistic,3.0
28716078,linguistic,6.0
25522035,linguistic,3.0
34078918,linguistic,5.0
30519231,linguistic,6.0
34156446,linguistic,6.0
34156447,linguistic,5.0
27134731,linguistic,3.0
29746699,linguistic,6.0
29992321,linguistic,5.0
31701156,linguistic,3.0
28904183,linguistic,4.0
30337678,linguistic,5.0
33945058,linguistic,3.0
32042035,linguistic,4.0
34122478,linguistic,5.0
29912458,linguistic,3.0
33827413,linguistic,7.0
29186335,linguistic,6.0
24782520,linguistic,3.0
30400805,linguistic,5.0
28708831,linguistic,5.0
26578557,linguistic,3.0
30176371,linguistic,4.0
32076423,linguistic,3.0
21216786,linguistic,3.0
24994456,linguistic,3.0
30804701,linguistic,5.0
31809863,linguistic,7.0
31978081,linguistic,5.0
33179748,linguistic,3.0
31851311,linguistic,3.0
28925997,linguistic,5.0
33300029,linguistic,3.0
33645624,linguistic,4.0
25378336,linguistic,3.0
32597467,linguistic,3.0
33031509,linguistic,6.0
32820322,linguistic,7.0
33991092,linguistic,3.0
32735312,linguistic,5.0
34048547,linguistic,4.0
32382747,linguistic,3.0
32766766,linguistic,7.0
31949184,linguistic,4.0
33929905,linguistic,5.0
33800487,linguistic,5.0
28651633,linguistic,3.0
31802127,linguistic,4.0
30239879,linguistic,3.0
30689724,linguistic,4.0
25817920,linguistic,4.0
33994075,linguistic,3.0
34478500,linguistic,5.0
32618119,linguistic,3.0
29850891,linguistic,3.0
34025934,linguistic,3.0
33875000,linguistic,4.0
34352070,linguistic,5.0
32588040,linguistic,5.0
32090260,linguistic,3.0
31680160,linguistic,3.0
31410491,linguistic,4.0
32147717,linguistic,7.0
31713618,linguistic,3.0
31696236,linguistic,3.0
32294193,linguistic,3.0
31906602,linguistic,8.0
34255817,linguistic,6.0
32705130,linguistic,3.0
31724725,linguistic,7.0
31702008,linguistic,4.0
31691833,linguistic,7.0
25706687,linguistic,7.0
33253147,linguistic,3.0
21216747,linguistic,4.0
27242038,linguistic,8.0
34182919,linguistic,6.0
35694152,linguistic,4.0
34252936,linguistic,4.0
34581030,linguistic,3.0
29040459,linguistic,6.0
25877637,linguistic,3.0
31870293,linguistic,4.0
33892308,linguistic,4.0
33813885,linguistic,3.0
27153620,linguistic,5.0
30675517,linguistic,3.0
31449516,linguistic,3.0
26960151,linguistic,3.0
32981139,linguistic,3.0
33882119,linguistic,6.0
33367505,linguistic,5.0
33882120,linguistic,7.0
31831730,linguistic,5.0
31825307,linguistic,4.0
33784300,linguistic,4.0
33780471,linguistic,6.0
32085724,linguistic,3.0
31147699,linguistic,3.0
30481257,linguistic,5.0
28061747,linguistic,5.0
28938003,linguistic,5.0
24501395,linguistic,3.0
28410421,linguistic,5.0
32448124,linguistic,3.0
31086734,linguistic,3.0
33685383,linguistic,3.0
32232439,linguistic,7.0
30382842,linguistic,4.0
30993318,linguistic,5.0
33763309,linguistic,7.0
29335563,linguistic,5.0
33090994,linguistic,4.0
29106469,linguistic,7.0
31081335,linguistic,4.0
33676930,linguistic,3.0
28057683,linguistic,5.0
27017950,linguistic,7.0
33965348,linguistic,3.0
33787872,linguistic,4.0
32047897,linguistic,3.0
32337573,linguistic,4.0
30307523,linguistic,5.0
24243840,linguistic,3.0
34666315,linguistic,3.0
29976644,linguistic,5.0
33334310,linguistic,3.0
31110304,linguistic,4.0
26039571,linguistic,4.0
25591325,linguistic,5.0
30395255,linguistic,3.0
32663312,linguistic,3.0
28503844,linguistic,5.0
30258114,linguistic,4.0
32427908,linguistic,4.0
28389638,linguistic,5.0
31612325,linguistic,3.0
28234924,linguistic,5.0
31600197,linguistic,5.0
30813377,linguistic,5.0
28413616,linguistic,4.0
25030426,linguistic,7.0
29040751,linguistic,8.0
33332411,linguistic,4.0
30843052,linguistic,7.0
30821321,linguistic,5.0
28961691,linguistic,6.0
33539888,linguistic,4.0
28485719,linguistic,3.0
25593349,linguistic,3.0
35424427,linguistic,6.0
33500403,linguistic,3.0
33192152,linguistic,4.0
33803957,linguistic,3.0
33522913,linguistic,3.0
33494129,linguistic,3.0
33070442,linguistic,3.0
29924895,linguistic,3.0
33495705,linguistic,4.0
27153608,linguistic,4.0
29126312,linguistic,6.0
32342666,linguistic,4.0
33639842,linguistic,3.0
31516400,linguistic,4.0
28472432,linguistic,5.0
26561344,linguistic,7.0
34370400,linguistic,4.0
32092438,linguistic,3.0
31501752,linguistic,4.0
27138013,linguistic,4.0
28453687,linguistic,4.0
34581805,linguistic,4.0
29106441,linguistic,7.0
31461459,linguistic,4.0
29617950,linguistic,5.0
33388027,linguistic,10.0
34068389,linguistic,3.0
33237311,linguistic,4.0
33219661,linguistic,4.0
33021634,linguistic,6.0
32941628,linguistic,6.0
33125652,linguistic,5.0
33053178,linguistic,4.0
33010163,linguistic,5.0
33835459,linguistic,3.0
33290552,linguistic,6.0
33219686,linguistic,4.0
33156333,linguistic,3.0
33151284,linguistic,4.0
33119751,linguistic,3.0
33084904,linguistic,7.0
33080015,linguistic,4.0
33010178,linguistic,5.0
33010154,linguistic,10.0
33221926,linguistic,3.0
33167031,linguistic,3.0
33137192,linguistic,5.0
33119734,linguistic,6.0
33106848,linguistic,4.0
33095860,linguistic,5.0
33084905,linguistic,4.0
33080028,linguistic,5.0
33068433,linguistic,4.0
33045747,linguistic,5.0
32890396,linguistic,8.0
33264401,linguistic,3.0
33245771,linguistic,4.0
33219670,linguistic,4.0
33174596,linguistic,6.0
33137193,linguistic,7.0
33125076,linguistic,5.0
33104797,linguistic,4.0
33095885,linguistic,5.0
33068428,linguistic,4.0
32990755,linguistic,6.0
32990749,linguistic,6.0
33245779,linguistic,3.0
33211888,linguistic,5.0
33180112,linguistic,5.0
33179747,linguistic,4.0
33170268,linguistic,3.0
33152070,linguistic,3.0
33125078,linguistic,4.0
33074547,linguistic,3.0
33068436,linguistic,6.0
33051688,linguistic,4.0
33045751,linguistic,5.0
33045727,linguistic,6.0
33010176,linguistic,8.0
33010170,linguistic,6.0
27151197,linguistic,5.0
33729755,linguistic,3.0
26975833,linguistic,5.0
29678128,linguistic,5.0
33704069,linguistic,3.0
28961744,linguistic,7.0
33630908,linguistic,3.0
27932923,linguistic,3.0
30561546,linguistic,6.0
34367079,linguistic,4.0
27303626,linguistic,3.0
27899579,linguistic,3.0
33359127,linguistic,5.0
32415959,linguistic,4.0
29206899,linguistic,6.0
30092360,linguistic,4.0
32637988,linguistic,4.0
24829452,linguistic,3.0
31681429,linguistic,3.0
31686495,linguistic,4.0
30187928,linguistic,3.0
34528664,linguistic,3.0
34542536,linguistic,3.0
33930829,linguistic,3.0
22965133,linguistic,4.0
33270643,linguistic,4.0
33275967,linguistic,4.0
33262341,linguistic,4.0
32940710,linguistic,6.0
32829394,linguistic,5.0
31799597,linguistic,4.0
33382886,linguistic,3.0
31774482,linguistic,8.0
33306801,linguistic,3.0
34407122,linguistic,3.0
26452372,linguistic,3.0
28750104,linguistic,5.0
33252190,linguistic,5.0
31308550,linguistic,3.0
28967693,linguistic,6.0
30726205,linguistic,5.0
24466070,linguistic,4.0
33103271,linguistic,3.0
28453561,linguistic,5.0
28700989,linguistic,4.0
27515742,linguistic,9.0
33276297,linguistic,4.0
29733404,linguistic,6.0
26656885,linguistic,3.0
31181663,linguistic,3.0
29381145,linguistic,5.0
33203359,linguistic,4.0
29092947,linguistic,3.0
31114900,linguistic,5.0
29355848,linguistic,4.0
25765346,linguistic,6.0
33186585,linguistic,6.0
32966562,linguistic,6.0
29165655,linguistic,5.0
29293953,linguistic,6.0
32915321,linguistic,3.0
33136065,linguistic,4.0
33216893,linguistic,3.0
33247936,linguistic,4.0
31094692,linguistic,4.0
33238002,linguistic,5.0
31133849,linguistic,3.0
29178837,linguistic,5.0
33824913,linguistic,3.0
26473382,linguistic,4.0
25990738,linguistic,5.0
29688379,linguistic,5.0
29379090,linguistic,6.0
32975944,linguistic,3.0
30407536,linguistic,5.0
26249811,linguistic,7.0
27285615,linguistic,5.0
33979356,linguistic,3.0
33193666,linguistic,4.0
26721496,linguistic,7.0
29106641,linguistic,6.0
29045755,linguistic,5.0
29121237,linguistic,5.0
34364002,linguistic,3.0
31094220,linguistic,7.0
33792640,linguistic,4.0
34305865,linguistic,3.0
25887162,linguistic,7.0
31375721,linguistic,4.0
22776079,linguistic,6.0
